dimension,category,document_id,issuer,fiscal_year,split,source_artifact,source_row_identifier
document_representation,native,INE192B01031_2013,Welspun Living Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE192B01031_2013
document_representation,native,INE226A01021_2012,Voltas Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE226A01021_2012
document_representation,native,INE761H01022_2012,Page Industries Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE761H01022_2012
document_representation,native,INE761H01022_2013,Page Industries Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE761H01022_2013
document_representation,native,INE761H01022_2018,Page Industries Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE761H01022_2018
document_representation,native,INE797F01020_2012,Jubilant Foodworks Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE797F01020_2012
document_representation,native,INE797F01020_2018,Jubilant Foodworks Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE797F01020_2018
document_representation,mixed,INE001B01026_2012,KRBL Limited,2012,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001B01026_2012
document_representation,mixed,INE001B01026_2013,KRBL Limited,2013,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001B01026_2013
document_representation,mixed,INE001B01026_2017,KRBL Limited,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001B01026_2017
document_representation,mixed,INE001B01026_2018,KRBL Limited,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001B01026_2018
document_representation,mixed,INE001B01026_2024,KRBL Limited,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001B01026_2024
document_representation,mixed,INE001B01026_2025,KRBL Limited,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001B01026_2025
document_representation,mixed,INE001F01019_2018,Modern Steels Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001F01019_2018
document_representation,mixed,INE001O01029_2013,Risa International Limited,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001O01029_2013
document_representation,mixed,INE001O01029_2017,Risa International Limited,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001O01029_2017
document_representation,mixed,INE001O01029_2024,Risa International Limited,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001O01029_2024
document_representation,mixed,INE001O01029_2025,Risa International Limited,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE001O01029_2025
document_representation,mixed,INE002A01018_2012,Reliance Industries Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002A01018_2012
document_representation,mixed,INE002A01018_2013,Reliance Industries Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002A01018_2013
document_representation,mixed,INE002A01018_2017,Reliance Industries Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002A01018_2017
document_representation,mixed,INE002A01018_2018,Reliance Industries Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002A01018_2018
document_representation,mixed,INE002B01016_2012,MADALA HOLDINGS LIMITED,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002B01016_2012
document_representation,mixed,INE002B01016_2013,MADALA HOLDINGS LIMITED,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002B01016_2013
document_representation,mixed,INE002B01016_2017,MADALA HOLDINGS LIMITED,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002B01016_2017
document_representation,mixed,INE002B01016_2025,MADALA HOLDINGS LIMITED,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002B01016_2025
document_representation,mixed,INE002E01010_2013,Sar  Auto Products Limited,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002E01010_2013
document_representation,mixed,INE002E01010_2018,Sar  Auto Products Limited,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002E01010_2018
document_representation,mixed,INE002L01015_2013,SJVN Limited,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002L01015_2013
document_representation,mixed,INE002L01015_2017,SJVN Limited,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002L01015_2017
document_representation,mixed,INE002L01015_2018,SJVN Limited,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002L01015_2018
document_representation,mixed,INE002L01015_2025,SJVN Limited,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002L01015_2025
document_representation,mixed,INE002S01010_2017,Mahanagar Gas Limited,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002S01010_2017
document_representation,mixed,INE002S01010_2018,Mahanagar Gas Limited,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002S01010_2018
document_representation,mixed,INE002S01010_2024,Mahanagar Gas Limited,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002S01010_2024
document_representation,mixed,INE002S01010_2025,Mahanagar Gas Limited,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE002S01010_2025
document_representation,mixed,INE003B01014_2018,Inter State Oil Carrier Ltd,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003B01014_2018
document_representation,mixed,INE003F01015_2024,Muller & Phipps (India) Ltd.,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003F01015_2024
document_representation,mixed,INE003F01015_2025,Muller & Phipps (India) Ltd.,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE003F01015_2025
document_representation,mixed,INE004C01028_2024,Gujarat Cotex Ltd,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004C01028_2024
document_representation,mixed,INE004C01028_2025,Gujarat Cotex Ltd,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004C01028_2025
document_representation,mixed,INE004E01016_2013,Span Divergent Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004E01016_2013
document_representation,mixed,INE004E01016_2017,Span Divergent Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004E01016_2017
document_representation,mixed,INE004E01016_2018,Span Divergent Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004E01016_2018
document_representation,mixed,INE004E01016_2024,Span Divergent Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004E01016_2024
document_representation,mixed,INE004E01016_2025,Span Divergent Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004E01016_2025
document_representation,mixed,INE004Z01011_2025,Mac Hotels Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE004Z01011_2025
document_representation,mixed,INE005E01013_2012,Ekansh Concepts Limited,2012,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE005E01013_2012
document_representation,mixed,INE005E01013_2013,Ekansh Concepts Limited,2013,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE005E01013_2013
document_representation,mixed,INE005E01013_2017,Ekansh Concepts Limited,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE005E01013_2017
document_representation,mixed,INE005E01013_2018,Ekansh Concepts Limited,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE005E01013_2018
document_representation,mixed,INE005E01013_2024,Ekansh Concepts Limited,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE005E01013_2024
document_representation,mixed,INE005E01013_2025,Ekansh Concepts Limited,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE005E01013_2025
document_representation,mixed,INE006C01015_2012,K.Z.Leasing & Finance Ltd.,2012,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006C01015_2012
document_representation,mixed,INE006C01015_2017,K.Z.Leasing & Finance Ltd.,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006C01015_2017
document_representation,mixed,INE006I01046_2012,Astral Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006I01046_2012
document_representation,mixed,INE006I01046_2013,Astral Limited,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006I01046_2013
document_representation,mixed,INE006I01046_2017,Astral Limited,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006I01046_2017
document_representation,mixed,INE006I01046_2018,Astral Limited,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006I01046_2018
document_representation,mixed,INE006I01046_2024,Astral Limited,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE006I01046_2024
document_representation,mixed,INE007A01025_2012,Crisil Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE007A01025_2012
document_representation,mixed,INE007A01025_2013,Crisil Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE007A01025_2013
document_representation,mixed,INE007A01025_2017,Crisil Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE007A01025_2017
document_representation,mixed,INE007A01025_2024,Crisil Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE007A01025_2024
document_representation,mixed,INE007A01025_2025,Crisil Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE007A01025_2025
document_representation,mixed,INE008A01015_2013,IDBI Bank Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE008A01015_2013
document_representation,mixed,INE008A01015_2017,IDBI Bank Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE008A01015_2017
document_representation,mixed,INE008A01015_2018,IDBI Bank Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE008A01015_2018
document_representation,mixed,INE008A01015_2024,IDBI Bank Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE008A01015_2024
document_representation,mixed,INE008A01015_2025,IDBI Bank Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE008A01015_2025
document_representation,mixed,INE009A01021_2012,Infosys Limited,2012,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE009A01021_2012
document_representation,mixed,INE009A01021_2018,Infosys Limited,2018,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE009A01021_2018
document_representation,mixed,INE009A01021_2024,Infosys Limited,2024,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE009A01021_2024
document_representation,mixed,INE009A01021_2025,Infosys Limited,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE009A01021_2025
document_representation,mixed,INE00E101023_2025,Bikaji Foods International Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00E101023_2025
document_representation,mixed,INE00FF01025_2024,Acutaas Chemicals Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00FF01025_2024
document_representation,mixed,INE00FF01025_2025,Acutaas Chemicals Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE00FF01025_2025
document_representation,mixed,INE040A01034_2012,HDFC Bank Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE040A01034_2012
document_representation,mixed,INE040A01034_2013,HDFC Bank Limited,2013,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE040A01034_2013
document_representation,mixed,INE040A01034_2017,HDFC Bank Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE040A01034_2017
document_representation,mixed,INE040A01034_2018,HDFC Bank Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE040A01034_2018
document_representation,mixed,INE040A01034_2024,HDFC Bank Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE040A01034_2024
document_representation,mixed,INE040A01034_2025,HDFC Bank Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE040A01034_2025
document_representation,mixed,INE044A01036_2017,Sun Pharmaceutical Industries Limited,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE044A01036_2017
document_representation,mixed,INE044A01036_2018,Sun Pharmaceutical Industries Limited,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE044A01036_2018
document_representation,mixed,INE044A01036_2024,Sun Pharmaceutical Industries Limited,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE044A01036_2024
document_representation,mixed,INE044A01036_2025,Sun Pharmaceutical Industries Limited,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE044A01036_2025
document_representation,mixed,INE081A01020_2012,Tata Steel Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE081A01020_2012
document_representation,mixed,INE081A01020_2017,Tata Steel Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE081A01020_2017
document_representation,mixed,INE081A01020_2018,Tata Steel Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE081A01020_2018
document_representation,mixed,INE081A01020_2024,Tata Steel Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE081A01020_2024
document_representation,mixed,INE081A01020_2025,Tata Steel Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE081A01020_2025
document_representation,mixed,INE119A01028_2012,Balrampur Chini Mills Limited,2012,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE119A01028_2012
document_representation,mixed,INE119A01028_2013,Balrampur Chini Mills Limited,2013,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE119A01028_2013
document_representation,mixed,INE119A01028_2017,Balrampur Chini Mills Limited,2017,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE119A01028_2017
document_representation,mixed,INE119A01028_2018,Balrampur Chini Mills Limited,2018,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE119A01028_2018
document_representation,mixed,INE119A01028_2024,Balrampur Chini Mills Limited,2024,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE119A01028_2024
document_representation,mixed,INE119A01028_2025,Balrampur Chini Mills Limited,2025,HOLDOUT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE119A01028_2025
document_representation,mixed,INE151A01013_2012,Tata Communications Limited,2012,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE151A01013_2012
document_representation,mixed,INE151A01013_2017,Tata Communications Limited,2017,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE151A01013_2017
document_representation,mixed,INE151A01013_2018,Tata Communications Limited,2018,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE151A01013_2018
document_representation,mixed,INE151A01013_2024,Tata Communications Limited,2024,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE151A01013_2024
document_representation,mixed,INE151A01013_2025,Tata Communications Limited,2025,FIT,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE151A01013_2025
document_representation,mixed,INE154A01025_2017,ITC Limited,2017,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE154A01025_2017
document_representation,mixed,INE154A01025_2025,ITC Limited,2025,VALIDATION,dataset/corpus_gap_audit/reconciled/gap_audit_document_reconciled.csv,document_id=INE154A01025_2025
