document_id,page_index,furniture_type,text_snippet,vertical_coord,detector_status,verification_status
INE001B01026_2012,29,running_footer,"1 KRBL DR & CGR_220812.indd   24
8/22/2012   7:16:27 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,30,running_footer,"1 KRBL DR & CGR_220812.indd   25
8/22/2012   7:16:27 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,31,running_footer,"1 KRBL DR & CGR_220812.indd   26
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,32,running_footer,"1 KRBL DR & CGR_220812.indd   27
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,33,running_footer,"1 KRBL DR & CGR_220812.indd   28
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,34,running_footer,"1 KRBL DR & CGR_220812.indd   29
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,35,running_footer,"1 KRBL DR & CGR_220812.indd   30
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,36,running_footer,"1 KRBL DR & CGR_220812.indd   31
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,37,running_footer,"1 KRBL DR & CGR_220812.indd   32
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,38,running_footer,"1 KRBL DR & CGR_220812.indd   33
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,39,running_footer,"1 KRBL DR & CGR_220812.indd   34
8/22/2012   7:16:28 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,40,running_footer,"1 KRBL DR & CGR_220812.indd   35
8/22/2012   7:16:29 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,41,running_footer,"1 KRBL DR & CGR_220812.indd   36
8/22/2012   7:16:29 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,42,running_footer,"1 KRBL DR & CGR_220812.indd   37
8/22/2012   7:16:29 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,43,running_footer,"1 KRBL DR & CGR_220812.indd   38
8/22/2012   7:16:29 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,45,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   40
8/22/2012   7:15:42 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,46,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   41
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,47,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   42
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,48,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   43
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,49,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   44
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,50,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   45
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,51,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   46
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,52,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   47
8/22/2012   7:15:43 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,53,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   48
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,54,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   49
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,55,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   50
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,56,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   51
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,57,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   52
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,58,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   53
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,59,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   54
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,60,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   55
8/22/2012   7:15:44 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,61,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   56
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,62,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   57
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,63,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   58
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,64,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   59
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,65,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   60
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,66,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   61
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,67,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   62
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,68,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   63
8/22/2012   7:15:45 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,69,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   64
8/22/2012   7:15:46 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,70,running_footer,"2 KRBL_Consolidated_Junta_220812.indd   65
8/22/2012   7:15:46 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,72,running_footer,"3 KRBL_Standalone_Junta_220812.indd   67
8/22/2012   7:16:12 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,73,running_footer,"3 KRBL_Standalone_Junta_220812.indd   68
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,74,running_footer,"3 KRBL_Standalone_Junta_220812.indd   69
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,75,running_footer,"3 KRBL_Standalone_Junta_220812.indd   70
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,76,running_footer,"3 KRBL_Standalone_Junta_220812.indd   71
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,77,running_footer,"3 KRBL_Standalone_Junta_220812.indd   72
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,78,running_footer,"3 KRBL_Standalone_Junta_220812.indd   73
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,79,running_footer,"3 KRBL_Standalone_Junta_220812.indd   74
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,80,running_footer,"3 KRBL_Standalone_Junta_220812.indd   75
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,81,running_footer,"3 KRBL_Standalone_Junta_220812.indd   76
8/22/2012   7:16:15 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,82,running_footer,"3 KRBL_Standalone_Junta_220812.indd   77
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,83,running_footer,"3 KRBL_Standalone_Junta_220812.indd   78
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,84,running_footer,"3 KRBL_Standalone_Junta_220812.indd   79
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,85,running_footer,"3 KRBL_Standalone_Junta_220812.indd   80
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,86,running_footer,"3 KRBL_Standalone_Junta_220812.indd   81
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,87,running_footer,"3 KRBL_Standalone_Junta_220812.indd   82
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,88,running_footer,"3 KRBL_Standalone_Junta_220812.indd   83
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,89,running_footer,"3 KRBL_Standalone_Junta_220812.indd   84
8/22/2012   7:16:16 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,90,running_footer,"3 KRBL_Standalone_Junta_220812.indd   85
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,91,running_footer,"3 KRBL_Standalone_Junta_220812.indd   86
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,92,running_footer,"3 KRBL_Standalone_Junta_220812.indd   87
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,93,running_footer,"3 KRBL_Standalone_Junta_220812.indd   88
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,94,running_footer,"3 KRBL_Standalone_Junta_220812.indd   89
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,95,running_footer,"3 KRBL_Standalone_Junta_220812.indd   90
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,96,running_footer,"3 KRBL_Standalone_Junta_220812.indd   91
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,97,running_footer,"3 KRBL_Standalone_Junta_220812.indd   92
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,98,running_footer,"3 KRBL_Standalone_Junta_220812.indd   93
8/22/2012   7:16:17 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,99,running_footer,"3 KRBL_Standalone_Junta_220812.indd   94
8/22/2012   7:16:18 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,100,running_footer,"3 KRBL_Standalone_Junta_220812.indd   95
8/22/2012   7:16:18 PM",833.42,CANDIDATE,NOT_REVIEWED
INE001B01026_2012,102,running_footer,"KRBL Cover 130812.indd   5
8/22/2012   6:19:37 PM",833.41,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,0,running_footer,WORLD’S LARGEST RICE MILLERS & BASMATI RICE EXPORTERS,785.98,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,1,running_footer,i,762.56,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,32,running_footer,"(Source: AC Nielsen MAT March, 2018)",737.14,CANDIDATE,NOT_REVIEWED
INE001B01026_2018,144,running_footer,"Place : Noida, Uttar Pradesh
Date : May 10, 2018",729.43,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,4,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,5,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,6,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,7,running_header,"Corporate Overview
Annual Report 2023-24",48.52,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,8,running_header,"Corporate Overview
Annual Report 2023-24",48.52,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,9,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,10,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,11,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,12,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,13,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,15,running_header,"Corporate Overview
Supplying flavours from the fields to your kitchen",58.79,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,16,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,17,running_header,"Annual Report 2023-24
Corporate Overview",48.52,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,18,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,19,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,20,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,21,running_header,"Annual Report 2023-24
Corporate Overview",48.52,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,22,running_header,"ESG Highlights
Annual Report 2023-24
Corporate Overview",58.79,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,23,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,25,running_header,"Corporate Overview
Annual Report 2023-24",48.52,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,26,running_header,"Corporate Overview
Annual Report 2023-24",48.52,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,27,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,28,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,29,running_header,"Management Discussion and Analysis
Annual Report 2023-24
Corporate Overview",58.79,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,30,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,31,running_header,Corporate Overview,46.86,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,32,running_header,"Management Discussion and Analysis
Annual Report 2023-24
Corporate Overview",58.79,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,34,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,35,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,36,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,37,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,38,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,39,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,40,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,41,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,42,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,43,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,44,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,45,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,46,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,47,running_header,"Annual Report 2023-24
Statutory Report
Directors’ Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,48,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,49,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,50,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,51,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,52,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,53,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,54,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,55,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,56,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,57,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,58,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,59,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,60,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,61,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,62,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,63,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,64,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,65,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,66,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,67,running_header,"Annual Report 2023-24
Statutory Report
Business Responsibility and Sustainability Report",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,68,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,69,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,70,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,71,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,72,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,73,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,74,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,75,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,76,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,77,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,78,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,79,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,80,running_header,"Annual Report 2023-24
Statutory Report
Report on Corporate Governance",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,81,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,82,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,83,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,84,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,85,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,86,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,87,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,88,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,89,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,90,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,91,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,92,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,93,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,94,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,95,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,96,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,97,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,98,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
INE001B01026_2024,99,running_header,"Annual Report 2023-24
Financial Statements
Standalone Financials",58.48,CANDIDATE,NOT_REVIEWED
