company_id,canonical_name,isin,cin,nse_symbol,bse_scrip,aliases,sector,cap_band,status,alternate_isins,series_type,exchange
INE00QT01015,Synergy Green Industries Limited,INE00QT01015,,SGIL,541929,SGIL|Synergy Green Industries Ltd,,,active,,ordinary,both
INE00R701025,Dalmia Bharat Limited,INE00R701025,,DALBHARAT,542216,DALBHARAT|DALMIA BHARAT LIMITED|Dalmia Bharat Ltd,,,active,,ordinary,both
INE00RL01028,Highway Infrastructure Limited,INE00RL01028,,HILINFRA,544477,HILINFRA|Highway Infrastructure Ltd,,,active,,ordinary,both
INE00S901012,Nila Spaces Limited,INE00S901012,,NILASPACES,542231,NILASPACES|Nila Spaces Ltd,,,active,,ordinary,both
INE00ST01011,B.R.GOYAL INFRASTRUCTURE LIMITED,INE00ST01011,,,544335,B.R.Goyal Infrastructure Ltd|BRGIL,,,active,,ordinary,bse
INE00SW01015,BCPL Railway Infrastructure Limited,INE00SW01015,,BCPL,542057,BCPL|BCPL Railway Infrastructure Ltd,,,active,,ordinary,both
INE00SY01011,Supershakti Metaliks Limited,INE00SY01011,,,541701,SUPERSHAKT|Supershakti Metaliks Ltd,,,active,,ordinary,bse
INE00TV01023,SUDARSHAN PHARMA INDUSTRIES LIMITED,INE00TV01023,,,543828,SUDARSHAN|Sudarshan Pharma Industries Ltd,,,active,,ordinary,bse
INE00U401027,Unicommerce Esolutions Limited,INE00U401027,,UNIECOM,544227,UNICOMMERCE ESOLUTIONS LIMITED|UNIECOM|Unicommerce Esolutions Ltd,,,active,,ordinary,both
INE00VM01036,Manorama Industries Limited,INE00VM01036,,MANORAMA,541974,MANORAMA|Manorama Industries Ltd,,,active,,ordinary,both
INE00WC01027,Affle 3i Limited,INE00WC01027,,AFFLE,542752,AFFLE|AFFLE 3I LIMITED|Affle 3I Ltd,,,active,,ordinary,both
INE00WV01027,CMR Green Technologies Limited,INE00WV01027,,CMRGREEN,544777,CMR Green Technologies Ltd|CMRGREEN,,,active,,ordinary,both
INE00WY01013,RACONTEUR GLOBAL RESOURCES LIMITED,INE00WY01013,,,541703,RACONTEUR|Raconteur Global Resources Ltd,,,active,,ordinary,bse
INE00XB01019,SEDEMAC Mechatronics Limited,INE00XB01019,,SEDEMAC,544723,SEDEMAC|SEDEMAC MECHATRONICS LIMITED|Sedemac Mechatronics Ltd,,,active,,ordinary,both
INE00Y201027,Flair Writing Industries Limited,INE00Y201027,,FLAIR,544030,FLAIR|Flair Writing Industries Ltd,,,active,,ordinary,both
INE00Y801016,Akg Exim Limited,INE00Y801016,,AKG,,,,,active,,ordinary,nse
INE00YB01025,A B Infrabuild Limited,INE00YB01025,,ABINFRA,544281,A B INFRABUILD LIMITED|A B Infrabuild Ltd|ABINFRA,,,active,,ordinary,both
INE00YJ01010,Jaro Institute of Technology Management and Research Limited,INE00YJ01010,,JARO,544534,JARO|Jaro Institute of Technology Management and Research Ltd,,,active,,ordinary,both
INE00Z501029,Kritika Wires Limited,INE00Z501029,,KRITIKA,,,,,active,,ordinary,nse
INE00ZE01026,Abans Financial Services Limited,INE00ZE01026,,AFSL,543712,ABANS FINANCIAL SERVICES LIMITED|AFSL|AHL|Abans Financial Services Ltd,,,active,,ordinary,both
INE010601016,Entero Healthcare Solutions Limited,INE010601016,,ENTERO,544122,ENTERO|Entero Healthcare Solutions Ltd,,,active,,ordinary,both
INE010A01011,Prism Johnson Limited,INE010A01011,,PRSMJOHNSN,500338,PRISM JOHNSON LIMITED.|PRISMCEM|PRSMJOHNSN|Prism Johnson Ltd,,,active,,ordinary,both
INE010B01027,Zydus Lifesciences Limited,INE010B01027,,ZYDUSLIFE,532321,CADILAHC|ZYDUSLIFE|Zydus Lifesciences Ltd,,,active,,ordinary,both
INE010C01025,Swiss Military Consumer Goods Limited,INE010C01025,,SWISSMLTRY,523558,SWISS MILITARY CONSUMER GOODS LIMITED|SWISSMLTRY|Swiss Military Consumer Goods Ltd,,,active,,ordinary,both
INE010J01012,Tejas Networks Limited,INE010J01012,,TEJASNET,540595,TEJASNET|Tejas Networks Ltd,,,active,,ordinary,both
INE010R01023,Ultracab (India) Limited,INE010R01023,,,538706,ULTRACAB|Ultracab (India) Ltd,,,active,,ordinary,bse
INE010V01017,L&T Technology Services Limited,INE010V01017,,LTTS,540115,L&T Technology Services Ltd|LTTS,,,active,,ordinary,both
INE011B01017,Clio Infotech Ltd.,INE011B01017,,,530839,CLIOINFO|Clio Infotech Ltd,,,active,,ordinary,bse
INE011D01013,Shervani Industrial Syndicate Limited,INE011D01013,,SHERVANI,526117,SHERVANI|Shervani Industrial Syndicate Ltd|Shervani Industrial syndicate Ltd,,,active,,ordinary,both
INE011E01029,Balu Forge Industries Limited,INE011E01029,,BALUFORGE,531112,BALU FORGE INDUSTRIES LIMITED|BALUFORGE|Balu Forge Industries Ltd,,,active,,ordinary,both
INE011K01018,Tega Industries Limited,INE011K01018,,TEGA,543413,TEGA|Tega Industries Ltd,,,active,,ordinary,both
INE011R01013,Atishay Limited,INE011R01013,,,538713,ATISHAY|Atishay Ltd,,,active,,ordinary,bse
INE012A01025,ACC Limited,INE012A01025,,ACC,500410,ACC|ACC Ltd,,,active,,ordinary,both
INE012E01035,Diana Tea Co.Ltd.,INE012E01035,,,530959,DIANATEA|Diana Tea Company Ltd,,,active,,ordinary,bse
INE012Q01039,R&B Denims Limited,INE012Q01039,,RNBDENIMS,538119,R&B Denims Ltd|RNBDENIMS,,,active,,ordinary,both
INE013801027,Kshitij Polyline Limited,INE013801027,,KSHITIJPOL,,,,,active,,ordinary,nse
INE013E01017,Panasonic Carbon India Co.Ltd,INE013E01017,,,508941,PANCARBON|Panasonic Carbon India Company Ltd,,,active,,ordinary,bse
INE013J01016,KRISHANVEER FORGE LIMITED,INE013J01016,,,513369,KVFORGE|Krishanveer Forge Ltd,,,active,,ordinary,bse
INE013P01021,Onesource Specialty Pharma Limited,INE013P01021,,ONESOURCE,544292,ONESOURCE|Onesource Specialty Pharma Ltd,,,active,,ordinary,both
INE013V01011,SHELTER PHARMA LIMITED,INE013V01011,,,543963,SHELTER|Shelter Pharma Ltd,,,active,,ordinary,bse
INE014B01011,TECIL Chemicals and Hydro Power Limited,INE014B01011,,TECILCHEM,506680,TECILCHEM|Tecil Chemicals & Hydro Power Limit|Tecil Chemicals & Hydro Power Ltd,,,active,,ordinary,both
INE014E01015,KOVILPATTI LAKSHMI ROLLER FLOUR MILLS  LTD,INE014E01015,,,507598,KLRFM|Kovilpatti Lakshmi Roller Flour Mills Ltd,,,active,,ordinary,bse
INE015C01016,Tinna Rubber and Infrastructure Limited,INE015C01016,,TINNARUBR,530475,TINNARUBR|Tinna Rubber and Infrastructure Ltd,,,active,,ordinary,both
INE015D01022,Manaksia Limited,INE015D01022,,MANAKSIA,532932,MANAKSIA|MANAKSIA LIMITED|Manaksia Ltd,,,active,,ordinary,both
INE015E01012,Paragon Finance Ltd.,INE015E01012,,,531255,PARAGONF|Paragon Finance Ltd,,,active,,ordinary,bse
INE015F01019,RSC International Limited,INE015F01019,,,530179,RSC International Ltd|RSCINT,,,active,,ordinary,bse
INE016A01026,Dabur India Limited,INE016A01026,,DABUR,500096,DABUR|Dabur India Ltd|Dabur India Ltd.,,,active,,ordinary,both
INE016C01014,Rajeswari Infrastructure Limited,INE016C01014,,,526823,RAJINFRA|Rajeswari Infrastructure Ltd,,,active,,ordinary,bse
INE016M01021,Diligent Media Corporation Limited,INE016M01021,,DNAMEDIA,540789,DNAMEDIA|Diligent Media Corporation Ltd,,,active,,ordinary,both
INE016Q01014,Ceinsys Tech Limited,INE016Q01014,,CEINSYS,538734,CEINSYS|CEINSYS TECH LIMITED|Ceinsys Tech Ltd,,,active,,ordinary,both
INE016X01010,Aryan Share & Stock Brokers Ltd.,INE016X01010,,,542176,ARYAN|Aryan Share and Stock Brokers Ltd,,,active,,ordinary,bse
INE017A01032,The Great Eastern Shipping Company Limited,INE017A01032,,GESHIP,500620,GESHIP|Great Eastern Shipping Co. Ltd.|Great Eastern Shipping Company Ltd,,,active,,ordinary,both
INE017C01012,Kisan Mouldings Ltd.,INE017C01012,,,530145,KISAN|Kisan Mouldings Ltd,,,active,,ordinary,bse
INE017E01018,Intec Capital Limited,INE017E01018,,,526871,INTECCAP|Intec Capital Ltd,,,active,,ordinary,bse
INE017I01027,SERA INVESTMENTS & FINANCE INDIA LIMITED,INE017I01027,,,512399,SERA|Sera Investments & Finance India Ltd,,,active,,ordinary,bse
INE017P01014,Multipurpose Trading & Agencies Ltd,INE017P01014,,,504356,ZMULTIPU,,,active,,ordinary,bse
INE017W01010,Sarthak Metals Limited,INE017W01010,,SMLT,540393,SMLT|Sarthak Metals Ltd,,,active,,ordinary,both
INE018401013,Suvidhaa Infoserve Limited,INE018401013,,SUVIDHAA,543281,SUVIDHAA|Suvidhaa Infoserve Ltd,,,active,,ordinary,both
INE018A01030,Larsen & Toubro Limited,INE018A01030,,LT,500510,LT|Larsen & Toubro Ltd,,,active,,ordinary,both
INE018E01016,SBI Cards and Payment Services Limited,INE018E01016,,SBICARD,543066,SBI CARDS AND PAYMENT SERVICES LIMITED|SBI Cards and Payment Services Ltd|SBICARD,,,active,,ordinary,both
INE018S01016,RITA FINANCE AND LEASING LIMITED,INE018S01016,,,543256,RFLL|Rita Finance and Leasing Ltd,,,active,,ordinary,bse
INE019A01038,JSW Steel Limited,INE019A01038,,JSWSTEEL,500228,JSW Steel Ltd|JSWSTEEL|JSWSTL,,,active,,ordinary,both
INE019B01010,Transchem Limited.,INE019B01010,,,500422,TRANSCHEM|Transchem Ltd,,,active,,ordinary,bse
INE019C01026,Himadri Speciality Chemical Limited,INE019C01026,,HSCL,500184,HCIL|HIMADCHEM|HSCL|Himadri Speciality Chemical Ltd|Himadri Speciality Chemical Ltd.,,,active,,ordinary,both
INE019D01016,Mahaveer Infoway Limited,INE019D01016,,,539383,MAHAVEER|Mahaveer Infoway Ltd,,,active,,ordinary,bse
INE019J01013,Health X Platform Limited,INE019J01013,,HEALTHX,533259,HEALTH X PLATFORM LIMITED|HEALTHX|Health X Platform Ltd|MICROSEC|SASTASUNDR,,,active,,ordinary,both
INE01A001028,Stanley Lifestyles Limited,INE01A001028,,STANLEY,544202,STANLEY|STANLEY LIFESTYLES LIMITED|Stanley Lifestyles Ltd,,,active,,ordinary,both
INE01A501027,Ranjeet Mechatronics Limited,INE01A501027,,,541945,RANJEET|Ranjeet Mechatronics Ltd,,,active,,ordinary,bse
INE01B501018,Add-Shop E-Retail Limited,INE01B501018,,,541865,ASRL|Add-Shop ERetail Ltd,,,active,,ordinary,bse
INE01BK01022,Antony Waste Handling Cell Limited,INE01BK01022,,AWHCL,543254,AWHCL|Antony Waste Handling Cell Ltd,,,active,,ordinary,both
INE01BL01012,Northern Spirits Limited,INE01BL01012,,,542628,NSL|Northern Spirits Ltd,,,active,,ordinary,bse
INE01BT01015,Machhar Industries Limited,INE01BT01015,,,543934,MACIND|Machhar Industries Ltd,,,active,,ordinary,bse
INE01C001026,Aartech Solonics Limited,INE01C001026,,AARTECH,542580,AARTECH|Aartech Solonics Ltd,,,active,,ordinary,both
INE01EA01019,Vishal Mega Mart Limited,INE01EA01019,,VMM,544307,VMM|Vishal Mega Mart Ltd,,,active,,ordinary,both
INE01EE01011,B&B Triplewall Containers Limited,INE01EE01011,,BBTCL,543668,B&B Triplewall Containers Ltd|BBTCL,,,active,,ordinary,both
INE01EG01016,Ritco Logistics Limited,INE01EG01016,,RITCO,542383,RITCO|Ritco Logistics Ltd,,,active,,ordinary,both
INE01EO01010,Spectrum Electrical Industries Limited,INE01EO01010,,SPECTRUM,544386,SPECTRUM|Spectrum Electrical Industries Ltd,,,active,,ordinary,both
INE01FR01028,Baazar Style Retail Limited,INE01FR01028,,STYLEBAAZA,544243,Baazar Style Retail Ltd|STYLEBAAZA,,,active,,ordinary,both
INE01GN01025,Iris Clothings Limited,INE01GN01025,,IRISDOREME,,,,,active,,ordinary,nse
INE01GR01018,Diksha Greens Limited,INE01GR01018,,,542155,DGL|Diksha Greens Ltd,,,active,,ordinary,bse
INE01GZ01011,Chandni Machines Limited,INE01GZ01011,,,542627,CHANDNIMACH|Chandni Machines Ltd,,,active,,ordinary,bse
INE01II01013,Silgo Retail Limited,INE01II01013,,SILGO,,,,,active,,ordinary,nse
INE01IU01018,SKY GOLD AND DIAMONDS LIMITED,INE01IU01018,,SKYGOLD,541967,SKYGOLD|Sky Gold And Diamonds Limited|Sky Gold And Diamonds Ltd,,,active,,ordinary,both
INE01J501010,Shubham Polyspin Limited,INE01J501010,,,542019,SHUBHAM|Shubham Polyspin Ltd,,,active,,ordinary,bse
INE01JE01028,Marine Electricals (India) Limited,INE01JE01028,,MARINE,,,,,active,,ordinary,nse
INE01K301012,Harish Textile Engineers Limited,INE01K301012,,,542682,HARISH|Harish Textile Engineers Ltd,,,active,,ordinary,bse
INE01KI01027,Vinny Overseas Limited,INE01KI01027,,VINNY,543670,VINNY|VINNY OVERSEAS LIMITED|Vinny Overseas Ltd,,,active,,ordinary,both
INE01MO01013,Mahesh Developers Limited,INE01MO01013,,,542677,MAHESH|Mahesh Developers Ltd,,,active,,ordinary,bse
INE01NE01012,Shankar Lal Rampal Dye-Chem Limited,INE01NE01012,,SRD,542232,SRD|Shankar Lal Rampal Dye-Chem Ltd,,,active,,ordinary,both
INE01NH01023,Dhoot Transmission Limited,INE01NH01023,,DHOOTTRANS,544867,DHOOTTRANS|Dhoot Transmission Ltd,,,active,,ordinary,both
INE01P501012,Xelpmoc Design And Tech Limited,INE01P501012,,XELPMOC,542367,XELPMOC|Xelpmoc Design and Tech Limited|Xelpmoc Design and Tech Ltd,,,active,,ordinary,both
INE01QM01018,eMudhra Limited,INE01QM01018,,EMUDHRA,543533,EMUDHRA|eMudhra Ltd,,,active,,ordinary,both
INE01R501028,Vikran Engineering Limited,INE01R501028,,VIKRAN,544496,VIKRAN|Vikran Engineering Ltd,,,active,,ordinary,both
INE01TL01014,BOMBAY OXYGEN INVESTMENTS LIMITED,INE01TL01014,,,509470,BOMOXY-B1|Bombay Oxygen Investments Ltd,,,active,,ordinary,bse
INE01TY01017,Canara HSBC Life Insurance Company Limited,INE01TY01017,,CANHLIFE,544583,CANHLIFE|Canara HSBC Life Insurance Company Ltd,,,active,,ordinary,both
INE020801028,Spencer's Retail Limited,INE020801028,,SPENCERS,542337,SPENCERS|Spencers Retail Ltd,,,active,,ordinary,both
INE020B01018,REC Limited,INE020B01018,,RECLTD,532955,REC LIMITED|REC Ltd|RECLTD,,,active,,ordinary,both
INE020D01022,Baid Finserv Limited,INE020D01022,,BAIDFIN,511724,BAID FINSERV LIMITED|BAIDFIN|Baid Finserv Ltd,,,active,,ordinary,both
INE020G01017,Inspirisys Solutions Limited,INE020G01017,,INSPIRISYS,532774,AFL|INSPIRISYS|Inspirisys Solutions Ltd,,,active,,ordinary,both
INE020J01029,Gokul Refoils and Solvent Limited,INE020J01029,,GOKUL,532980,GOKUL|Gokul Refoils & Solvent Ltd,,,active,,ordinary,both
INE020S01012,Galaxy Bearings Ltd.,INE020S01012,,,526073,GALXBRG|Galaxy Bearings Ltd,,,active,,ordinary,bse
INE021A01026,Asian Paints Limited,INE021A01026,,ASIANPAINT,500820,ASIANPAINT|Asian Paints Ltd|Asian Paints Ltd.,,,active,,ordinary,both
INE021N01011,ARIGATO UNIVERSE LIMITED,INE021N01011,,,530267,ARIGATO|Arigato Universe Ltd,,,active,,ordinary,bse
INE021O01019,Dodla Dairy Limited,INE021O01019,,DODLA,543306,DODLA|Dodla Dairy Ltd,,,active,,ordinary,both
INE022C01012,Eurotex Industries and Exports Limited,INE022C01012,,EUROTEXIND,521014,EUROTEXIND|Eurotex Industries & Exports Ltd.|Eurotex Industries and Exports Ltd,,,active,,ordinary,both
INE022I01019,Asian Granito India Limited,INE022I01019,,ASIANTILES,532888,ASIAN GRANITO INDIA LIMITED|ASIANTILES|Asian Granito India Ltd,,,active,,ordinary,both
INE022Q01020,Indian Energy Exchange Limited,INE022Q01020,,IEX,540750,IEX|Indian Energy Exchange Ltd,,,active,,ordinary,both
INE023A01030,Nalwa Sons Investments Limited,INE023A01030,,NSIL,532256,JSTRIPS|NSIL|Nalwa Sons Investment Ltd|Nalwa Sons Investments Ltd,,,active,,ordinary,both
INE023H01027,Nectar Lifesciences Limited,INE023H01027,,NECLIFE,532649,NECLIFE|Nectar Lifesciences Ltd,,,active,,ordinary,both
INE023M01027,Setubandhan Infrastructure Limited,INE023M01027,,SETUINFRA,533605,PRAKASHCON|SETUBANDHAN INFRASTRUCTURE LIMITED|SETUINFRA|Setubandhan Infrastructure Ltd,,,active,,ordinary,both
INE023R01018,ACE MEN ENGG WORKS LIMITED,INE023R01018,,,539661,ACEMEN|Ace Men Engg Works Ltd,,,active,,ordinary,bse
INE023S01024,Jiya Eco-Products Limited,INE023S01024,,,539225,JIYAECO|Jiya Eco-Products Ltd,,,active,,ordinary,bse
INE024001021,Aeroflex Industries Limited,INE024001021,,AEROFLEX,543972,AEROFLEX|Aeroflex Industries Ltd,,,active,,ordinary,both
INE024B01010,Joindre Capital Services Ltd.,INE024B01010,,,531861,JOINDRE|Joindre Capital Services Ltd,,,active,,ordinary,bse
INE024D01016,Prudential Sugar Corporation Limited,INE024D01016,,PRUDMOULI,500342,PRUDMOULI|Prudential Sugar Corporation Ltd,,,active,,ordinary,both
INE024F01011,Shilchar Technologies Limited,INE024F01011,,SHILCTECH,531201,SHILCTECH|Shilchar Technologies Ltd|Shilchar Technologies Ltd.,,,active,,ordinary,both
INE024L01027,Gravita India Limited,INE024L01027,,GRAVITA,533282,GRAVITA|GRAVITA INDIA LIMITED|Gravita India Ltd,,,active,,ordinary,both
INE025A01027,Consolidated Finvest & Holdings Limited,INE025A01027,,CONSOFINVT,,,,,active,,ordinary,nse
INE025B01025,Goldiam International Limited,INE025B01025,,GOLDIAM,526729,GOLDIAM|Goldiam International Ltd|Goldiam International Ltd.,,,active,,ordinary,both
INE025D01013,Heera Ispat Ltd.,INE025D01013,,,526967,HEERAISP|Heera Ispat Ltd,,,active,,ordinary,bse
INE025R01021,Artemis Medicare Services Limited,INE025R01021,,ARTEMISMED,542919,ARTEMISMED|Artemis Medicare Services Ltd,,,active,,ordinary,both
INE026A01025,Gujarat State Fertilizers & Chemicals Limited,INE026A01025,,GSFC,500690,GSFC|Gujarat State Fertilizers & Chem.Ltd|Gujarat State Fertilizers & Chemicals Ltd,,,active,,ordinary,both
INE026C01013,NDA Securities ltd.,INE026C01013,,,511535,NDA Securities Ltd|NDASEC,,,active,,ordinary,bse
INE026D01011,Lotus Chocolate Company Limited,INE026D01011,,LOTUSCHO,523475,LOTUSCHO|Lotus Chocolate Co. Ltd.|Lotus Chocolate Company Ltd,,,active,,ordinary,both
