document_id,mda_candidate_pages,annexure_candidate_pages,combined_mda_candidate,deep_hierarchy_candidate,outline_entries_count,detector_status,verification_status
INE005E01013_2018,5,18,False,False,132,CANDIDATE,NOT_REVIEWED
INE005E01013_2024,5,21,True,False,0,CANDIDATE,NOT_REVIEWED
INE005E01013_2025,5,17,True,False,0,CANDIDATE,NOT_REVIEWED
INE006C01015_2012,0,2,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE006C01015_2013,2,1,False,False,0,CANDIDATE,NOT_REVIEWED
INE006C01015_2017,4,10,False,False,0,CANDIDATE,NOT_REVIEWED
INE006C01015_2018,4,7,False,False,0,CANDIDATE,NOT_REVIEWED
INE006C01015_2024,5,7,True,False,0,CANDIDATE,NOT_REVIEWED
INE006C01015_2025,5,7,True,False,0,CANDIDATE,NOT_REVIEWED
INE006I01046_2012,5,14,True,False,0,CANDIDATE,NOT_REVIEWED
INE006I01046_2013,5,14,True,False,0,CANDIDATE,NOT_REVIEWED
INE006I01046_2017,6,14,False,False,12,CANDIDATE,NOT_REVIEWED
INE006I01046_2018,6,14,False,False,0,CANDIDATE,NOT_REVIEWED
INE006I01046_2024,2,18,False,False,0,CANDIDATE,NOT_REVIEWED
INE006I01046_2025,5,19,False,False,0,CANDIDATE,NOT_REVIEWED
INE007A01025_2012,4,6,False,False,5,CANDIDATE,NOT_REVIEWED
INE007A01025_2013,3,6,False,False,0,CANDIDATE,NOT_REVIEWED
INE007A01025_2017,9,27,False,False,8,CANDIDATE,NOT_REVIEWED
INE007A01025_2018,6,19,False,False,0,CANDIDATE,NOT_REVIEWED
INE007A01025_2024,7,34,True,False,0,CANDIDATE,NOT_REVIEWED
INE007A01025_2025,7,31,True,False,5,CANDIDATE,NOT_REVIEWED
INE008A01015_2012,4,27,False,False,0,CANDIDATE,NOT_REVIEWED
INE008A01015_2013,35,1,False,False,8,CANDIDATE,NOT_REVIEWED
INE008A01015_2017,18,5,False,True,21,CANDIDATE,NOT_REVIEWED
INE008A01015_2018,16,5,False,True,17,CANDIDATE,NOT_REVIEWED
INE008A01015_2024,14,21,True,False,2,CANDIDATE,NOT_REVIEWED
INE008A01015_2025,20,15,False,False,1,CANDIDATE,NOT_REVIEWED
INE009A01021_2012,10,5,False,False,41,CANDIDATE,NOT_REVIEWED
INE009A01021_2013,0,0,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE009A01021_2017,0,55,False,True,21,NOT_OBSERVED,NOT_REVIEWED
INE009A01021_2018,0,38,False,True,40,NOT_OBSERVED,NOT_REVIEWED
INE009A01021_2024,4,39,True,True,39,CANDIDATE,NOT_REVIEWED
INE009A01021_2025,3,47,True,True,33,CANDIDATE,NOT_REVIEWED
INE00E101023_2024,6,24,False,False,8,CANDIDATE,NOT_REVIEWED
INE00E101023_2025,4,28,False,False,8,CANDIDATE,NOT_REVIEWED
INE00FF01025_2015,0,0,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE00FF01025_2024,6,27,False,False,12,CANDIDATE,NOT_REVIEWED
INE00FF01025_2025,7,29,True,False,0,CANDIDATE,NOT_REVIEWED
INE00LO01017_2015,0,2,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE00LO01017_2024,3,22,True,True,36,CANDIDATE,NOT_REVIEWED
INE00LO01017_2025,4,28,True,False,23,CANDIDATE,NOT_REVIEWED
INE00WC01027_2024,4,22,False,False,9,CANDIDATE,NOT_REVIEWED
INE00WC01027_2025,1,21,False,False,8,CANDIDATE,NOT_REVIEWED
INE040A01034_2012,0,3,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE040A01034_2013,0,3,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE040A01034_2017,1,19,False,False,0,CANDIDATE,NOT_REVIEWED
INE040A01034_2018,1,19,False,False,0,CANDIDATE,NOT_REVIEWED
INE040A01034_2024,1,20,False,True,20,CANDIDATE,NOT_REVIEWED
INE040A01034_2025,2,22,False,False,4,CANDIDATE,NOT_REVIEWED
INE044A01036_2012,14,17,False,False,0,CANDIDATE,NOT_REVIEWED
INE044A01036_2013,30,21,False,False,0,CANDIDATE,NOT_REVIEWED
INE044A01036_2017,3,35,False,False,5,CANDIDATE,NOT_REVIEWED
INE044A01036_2018,11,47,False,False,6,CANDIDATE,NOT_REVIEWED
INE044A01036_2024,24,49,False,False,0,CANDIDATE,NOT_REVIEWED
INE044A01036_2025,28,48,True,False,2,CANDIDATE,NOT_REVIEWED
INE081A01020_2012,5,9,False,False,6,CANDIDATE,NOT_REVIEWED
INE081A01020_2013,4,8,False,False,0,CANDIDATE,NOT_REVIEWED
INE081A01020_2017,12,30,True,True,9,CANDIDATE,NOT_REVIEWED
INE081A01020_2018,11,32,True,True,9,CANDIDATE,NOT_REVIEWED
INE081A01020_2024,5,33,True,False,0,CANDIDATE,NOT_REVIEWED
INE081A01020_2025,5,30,True,False,3,CANDIDATE,NOT_REVIEWED
INE119A01028_2012,4,7,False,False,0,CANDIDATE,NOT_REVIEWED
INE119A01028_2013,3,5,False,False,0,CANDIDATE,NOT_REVIEWED
INE119A01028_2017,2,32,False,False,1,CANDIDATE,NOT_REVIEWED
INE119A01028_2018,4,29,False,True,8,CANDIDATE,NOT_REVIEWED
INE119A01028_2024,5,24,True,False,0,CANDIDATE,NOT_REVIEWED
INE119A01028_2025,8,26,False,False,0,CANDIDATE,NOT_REVIEWED
INE151A01013_2012,3,7,True,False,0,CANDIDATE,NOT_REVIEWED
INE151A01013_2013,2,7,True,False,0,CANDIDATE,NOT_REVIEWED
INE151A01013_2017,5,15,False,False,8,CANDIDATE,NOT_REVIEWED
INE151A01013_2018,17,14,True,False,0,CANDIDATE,NOT_REVIEWED
INE151A01013_2024,4,11,False,True,4,CANDIDATE,NOT_REVIEWED
INE151A01013_2025,3,11,False,False,0,CANDIDATE,NOT_REVIEWED
INE154A01025_2012,4,11,False,False,0,CANDIDATE,NOT_REVIEWED
INE154A01025_2013,4,11,False,True,9,CANDIDATE,NOT_REVIEWED
INE154A01025_2017,7,21,False,False,49,CANDIDATE,NOT_REVIEWED
INE154A01025_2018,7,19,True,False,48,CANDIDATE,NOT_REVIEWED
INE154A01025_2024,8,23,False,True,46,CANDIDATE,NOT_REVIEWED
INE154A01025_2025,6,23,True,True,43,CANDIDATE,NOT_REVIEWED
INE171A01029_2012,22,7,False,False,0,CANDIDATE,NOT_REVIEWED
INE171A01029_2013,16,8,False,False,0,CANDIDATE,NOT_REVIEWED
INE171A01029_2017,3,26,False,False,30,CANDIDATE,NOT_REVIEWED
INE171A01029_2018,3,20,False,False,0,CANDIDATE,NOT_REVIEWED
INE171A01029_2024,4,24,False,False,0,CANDIDATE,NOT_REVIEWED
INE171A01029_2025,6,28,False,False,9,CANDIDATE,NOT_REVIEWED
INE191H01014_2012,4,8,False,False,0,CANDIDATE,NOT_REVIEWED
INE191H01014_2013,5,8,False,False,0,CANDIDATE,NOT_REVIEWED
INE191H01014_2017,5,31,False,False,5,CANDIDATE,NOT_REVIEWED
INE191H01014_2018,8,23,False,False,0,CANDIDATE,NOT_REVIEWED
INE191H01014_2024,19,19,False,False,0,CANDIDATE,NOT_REVIEWED
INE191H01014_2025,36,21,False,False,8,CANDIDATE,NOT_REVIEWED
INE192B01031_2012,5,5,False,False,0,CANDIDATE,NOT_REVIEWED
INE192B01031_2013,5,8,False,False,0,CANDIDATE,NOT_REVIEWED
INE192B01031_2017,15,21,False,False,4,CANDIDATE,NOT_REVIEWED
INE192B01031_2018,4,12,False,False,0,CANDIDATE,NOT_REVIEWED
INE192B01031_2024,14,27,False,False,3,CANDIDATE,NOT_REVIEWED
INE192B01031_2025,18,22,False,False,0,CANDIDATE,NOT_REVIEWED
INE226A01021_2012,0,9,False,False,0,NOT_OBSERVED,NOT_REVIEWED
INE226A01021_2013,5,8,False,False,5,CANDIDATE,NOT_REVIEWED
INE226A01021_2017,6,14,False,False,0,CANDIDATE,NOT_REVIEWED
INE226A01021_2018,6,14,False,False,36,CANDIDATE,NOT_REVIEWED
INE226A01021_2024,2,17,False,False,0,CANDIDATE,NOT_REVIEWED
INE226A01021_2025,1,22,False,True,38,CANDIDATE,NOT_REVIEWED
INE482A01020_2012,2,10,False,False,0,CANDIDATE,NOT_REVIEWED
INE482A01020_2013,7,11,False,False,5,CANDIDATE,NOT_REVIEWED
INE482A01020_2017,16,22,False,True,8,CANDIDATE,NOT_REVIEWED
INE482A01020_2018,11,29,True,False,2,CANDIDATE,NOT_REVIEWED
INE482A01020_2024,6,13,False,False,15,CANDIDATE,NOT_REVIEWED
INE482A01020_2025,2,19,False,True,11,CANDIDATE,NOT_REVIEWED
INE761H01022_2012,3,4,False,False,0,CANDIDATE,NOT_REVIEWED
INE761H01022_2013,3,4,False,False,6,CANDIDATE,NOT_REVIEWED
INE761H01022_2017,4,15,False,False,0,CANDIDATE,NOT_REVIEWED
INE761H01022_2018,3,17,False,True,11,CANDIDATE,NOT_REVIEWED
INE761H01022_2024,2,13,False,False,0,CANDIDATE,NOT_REVIEWED
INE761H01022_2025,2,13,False,False,0,CANDIDATE,NOT_REVIEWED
INE797F01020_2012,3,7,False,True,31,CANDIDATE,NOT_REVIEWED
INE797F01020_2013,1,7,False,True,37,CANDIDATE,NOT_REVIEWED
INE797F01020_2017,4,21,False,False,5,CANDIDATE,NOT_REVIEWED
INE797F01020_2018,3,21,False,True,27,CANDIDATE,NOT_REVIEWED
INE797F01020_2024,7,24,False,True,12,CANDIDATE,NOT_REVIEWED
INE797F01020_2025,8,19,False,False,4,CANDIDATE,NOT_REVIEWED
