document_id,issuer,fiscal_year,split,page_index,condition,detector_status,evidence_details,original_verification_status,original_reviewer_type,original_reviewer_notes,reconciled_verification_status,reconciled_reviewer_type,reconciled_reviewer_notes,review_provenance_issue
INE001B01026_2024,KRBL Limited,2024,VALIDATION,4,full_width_header,CANDIDATE,"{""document_id"": ""INE001B01026_2024"", ""page_index"": 4, ""furniture_type"": ""running_header"", ""text_snippet"": ""Corporate Overview"", ""vertical_coord"": 46.86, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Corporate Overview'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2024,KRBL Limited,2024,VALIDATION,5,full_width_header,CANDIDATE,"{""document_id"": ""INE001B01026_2024"", ""page_index"": 5, ""furniture_type"": ""running_header"", ""text_snippet"": ""Corporate Overview"", ""vertical_coord"": 46.86, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Corporate Overview'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2024,KRBL Limited,2024,VALIDATION,6,full_width_header,CANDIDATE,"{""document_id"": ""INE001B01026_2024"", ""page_index"": 6, ""furniture_type"": ""running_header"", ""text_snippet"": ""Corporate Overview"", ""vertical_coord"": 46.86, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Corporate Overview'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2024,KRBL Limited,2024,VALIDATION,7,full_width_header,CANDIDATE,"{""document_id"": ""INE001B01026_2024"", ""page_index"": 7, ""furniture_type"": ""running_header"", ""text_snippet"": ""Corporate Overview\nAnnual Report 2023-24"", ""vertical_coord"": 48.52, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Corporate Overview Annual Report 2023-24'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2024,KRBL Limited,2024,VALIDATION,8,full_width_header,CANDIDATE,"{""document_id"": ""INE001B01026_2024"", ""page_index"": 8, ""furniture_type"": ""running_header"", ""text_snippet"": ""Corporate Overview\nAnnual Report 2023-24"", ""vertical_coord"": 48.52, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Corporate Overview Annual Report 2023-24'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001O01029_2012,Risa International Limited,2012,HOLDOUT,1,full_width_header,CANDIDATE,"{""document_id"": ""INE001O01029_2012"", ""page_index"": 1, ""furniture_type"": ""running_header"", ""text_snippet"": ""RISA INTERNATIONAL LIMITED \n(Formerly known as Govindji Trikamdas Exports Limited)"", ""vertical_coord"": 55.29, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='RISA INTERNATIONAL LIMITED  (Formerly kn'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002A01018_2024,Reliance Industries Limited,2024,FIT,3,full_width_header,CANDIDATE,"{""document_id"": ""INE002A01018_2024"", ""page_index"": 3, ""furniture_type"": ""running_header"", ""text_snippet"": ""Notice"", ""vertical_coord"": 48.46, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Notice'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002B01016_2017,MADALA HOLDINGS LIMITED,2017,HOLDOUT,1,full_width_header,CANDIDATE,"{""document_id"": ""INE002B01016_2017"", ""page_index"": 1, ""furniture_type"": ""running_header"", ""text_snippet"": ""SoftSol India Limited\n27th Annual Report 2016-17"", ""vertical_coord"": 38.82, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='SoftSol India Limited 27th Annual Report'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002E01010_2012,Sar  Auto Products Limited,2012,HOLDOUT,11,full_width_header,CANDIDATE,"{""document_id"": ""INE002E01010_2012"", ""page_index"": 11, ""furniture_type"": ""running_header"", ""text_snippet"": ""SAR AUTO PRODUCTS LIMITED"", ""vertical_coord"": 48.04, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='SAR AUTO PRODUCTS LIMITED'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002S01010_2024,Mahanagar Gas Limited,2024,VALIDATION,3,full_width_header,CANDIDATE,"{""document_id"": ""INE002S01010_2024"", ""page_index"": 3, ""furniture_type"": ""running_header"", ""text_snippet"": ""Financial \nStatements"", ""vertical_coord"": 43.42, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_header, snippet='Financial  Statements'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,0,full_width_footer,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 0, ""furniture_type"": ""running_footer"", ""text_snippet"": ""6 KRBL__Notice_210812.indd   1\n8/23/2012   6:31:11 PM\nPDF processed with CutePDF evaluation edition "", ""vertical_coord"": 828.11, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='6 KRBL__Notice_210812.indd   1 8/23/2012'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,1,full_width_footer,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 1, ""furniture_type"": ""running_footer"", ""text_snippet"": ""6 KRBL__Notice_210812.indd   2\n8/23/2012   6:31:13 PM"", ""vertical_coord"": 833.42, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='6 KRBL__Notice_210812.indd   2 8/23/2012'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,2,full_width_footer,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 2, ""furniture_type"": ""running_footer"", ""text_snippet"": ""6 KRBL__Notice_210812.indd   3\n8/23/2012   6:31:13 PM"", ""vertical_coord"": 833.42, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='6 KRBL__Notice_210812.indd   3 8/23/2012'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,4,full_width_footer,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 4, ""furniture_type"": ""running_footer"", ""text_snippet"": ""KRBL Cover 130812.indd   3\n8/22/2012   6:19:22 PM"", ""vertical_coord"": 833.41, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='KRBL Cover 130812.indd   3 8/22/2012   6'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,6,full_width_footer,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 6, ""furniture_type"": ""running_footer"", ""text_snippet"": ""KRBL ar Initial_220812.indd   1\n8/22/2012   6:17:50 PM"", ""vertical_coord"": 833.41, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='KRBL ar Initial_220812.indd   1 8/22/201'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002A01018_2012,Reliance Industries Limited,2012,FIT,176,full_width_footer,CANDIDATE,"{""document_id"": ""INE002A01018_2012"", ""page_index"": 176, ""furniture_type"": ""running_footer"", ""text_snippet"": ""4,036\n5,082"", ""vertical_coord"": 681.74, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='4,036 5,082'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002B01016_2018,MADALA HOLDINGS LIMITED,2018,HOLDOUT,108,full_width_footer,CANDIDATE,"{""document_id"": ""INE002B01016_2018"", ""page_index"": 108, ""furniture_type"": ""running_footer"", ""text_snippet"": ""Place: Hyderabad\t\nB. Laxman\t\nSrinivas Mandava\t\n\t\nDate: 30.05.2018\t\nCompany Secretary\t\nChief Financia"", ""vertical_coord"": 626.8, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='Place: Hyderabad	 B. Laxman	 Srinivas Ma'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002E01010_2013,Sar  Auto Products Limited,2013,HOLDOUT,4,full_width_footer,CANDIDATE,"{""document_id"": ""INE002E01010_2013"", ""page_index"": 4, ""furniture_type"": ""running_footer"", ""text_snippet"": ""Add: 317, Krishna Con-Arch-II, 3rd Floor, Tagore Road, Rajkot.Ph: 0281 3013899, 3015119, Cell: 98242"", ""vertical_coord"": 806.16, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='Add: 317, Krishna Con-Arch-II, 3rd Floor'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002L01015_2013,SJVN Limited,2013,HOLDOUT,24,full_width_footer,CANDIDATE,"{""document_id"": ""INE002L01015_2013"", ""page_index"": 24, ""furniture_type"": ""running_footer"", ""text_snippet"": ""New Delhi"", ""vertical_coord"": 716.19, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='New Delhi'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002S01010_2018,Mahanagar Gas Limited,2018,VALIDATION,142,full_width_footer,CANDIDATE,"{""document_id"": ""INE002S01010_2018"", ""page_index"": 142, ""furniture_type"": ""running_footer"", ""text_snippet"": ""12,568.55 \n 7,505.35"", ""vertical_coord"": 705.91, ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: furniture=running_footer, snippet='12,568.55   7,505.35'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,4,toc_offset,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""toc_page"": 4, ""candidate_offset"": 1, ""support_count"": 1, ""total_matches"": 3, ""offset_consistency"": 0.33, ""support_entries"": ""KRBL Cover 130812.indd (folio 3 -> page 4)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=1, support_count=1, sample_entries='KRBL Cover 130812.indd (folio 3 -> page '",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2025,KRBL Limited,2025,VALIDATION,3,toc_offset,CANDIDATE,"{""document_id"": ""INE001B01026_2025"", ""toc_page"": 3, ""candidate_offset"": -15, ""support_count"": 2, ""total_matches"": 6, ""offset_consistency"": 0.33, ""support_entries"": ""Standalone Financial Statements (folio 181 -> page 166); Consolidated Financial Statements (folio 261 -> page 246)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=-15, support_count=2, sample_entries='Standalone Financial Statements (folio 1'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001F01019_2024,Modern Steels Limited,2024,FIT,13,toc_offset,CANDIDATE,"{""document_id"": ""INE001F01019_2024"", ""toc_page"": 13, ""candidate_offset"": 11, ""support_count"": 1, ""total_matches"": 6, ""offset_consistency"": 0.17, ""support_entries"": ""Directors\u2019 Report (folio 2 -> page 13)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=11, support_count=1, sample_entries='Directors’ Report (folio 2 -> page 13)'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001F01019_2025,Modern Steels Limited,2025,FIT,13,toc_offset,CANDIDATE,"{""document_id"": ""INE001F01019_2025"", ""toc_page"": 13, ""candidate_offset"": 11, ""support_count"": 1, ""total_matches"": 6, ""offset_consistency"": 0.17, ""support_entries"": ""Directors\u2019 Report (folio 2 -> page 13)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=11, support_count=1, sample_entries='Directors’ Report (folio 2 -> page 13)'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE002S01010_2017,Mahanagar Gas Limited,2017,VALIDATION,3,toc_offset,CANDIDATE,"{""document_id"": ""INE002S01010_2017"", ""toc_page"": 3, ""candidate_offset"": 2, ""support_count"": 1, ""total_matches"": 1, ""offset_consistency"": 1.0, ""support_entries"": ""ANNUAL REPORT-2017   | (folio 1 -> page 3)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=2, support_count=1, sample_entries='ANNUAL REPORT-2017   | (folio 1 -> page '",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE006C01015_2017,K.Z.Leasing & Finance Ltd.,2017,VALIDATION,4,toc_offset,CANDIDATE,"{""document_id"": ""INE006C01015_2017"", ""toc_page"": 4, ""candidate_offset"": 0, ""support_count"": 2, ""total_matches"": 6, ""offset_consistency"": 0.33, ""support_entries"": ""1st Floor, Deshana Chamber,                             Notice to the Shareholders (folio 4 -> page 4); Attendance Slip (folio 51 -> page 51)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=0, support_count=2, sample_entries='1st Floor, Deshana Chamber,             '",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE006I01046_2017,Astral Limited,2017,HOLDOUT,8,toc_offset,CANDIDATE,"{""document_id"": ""INE006I01046_2017"", ""toc_page"": 8, ""candidate_offset"": 1, ""support_count"": 1, ""total_matches"": 3, ""offset_consistency"": 0.33, ""support_entries"": ""Consolidated Statement of Changes in Equity (folio 99 -> page 100)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=1, support_count=1, sample_entries='Consolidated Statement of Changes in Equ'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE009A01021_2012,Infosys Limited,2012,VALIDATION,14,toc_offset,CANDIDATE,"{""document_id"": ""INE009A01021_2012"", ""toc_page"": 14, ""candidate_offset"": 12, ""support_count"": 2, ""total_matches"": 12, ""offset_consistency"": 0.17, ""support_entries"": ""Letter to the shareholder (folio 2 -> page 14); Shareholder information (folio 72 -> page 84)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=12, support_count=2, sample_entries='Letter to the shareholder (folio 2 -> pa'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE00LO01017_2024,Craftsman Automation Limited,2024,FIT,2,toc_offset,CANDIDATE,"{""document_id"": ""INE00LO01017_2024"", ""toc_page"": 2, ""candidate_offset"": -9, ""support_count"": 2, ""total_matches"": 11, ""offset_consistency"": 0.18, ""support_entries"": ""Our business verticals (folio 11 -> page 2); Competitive advantage (folio 22 -> page 13)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=-9, support_count=2, sample_entries='Our business verticals (folio 11 -> page'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE040A01034_2024,HDFC Bank Limited,2024,FIT,29,toc_offset,CANDIDATE,"{""document_id"": ""INE040A01034_2024"", ""toc_page"": 29, ""candidate_offset"": 15, ""support_count"": 1, ""total_matches"": 7, ""offset_consistency"": 0.14, ""support_entries"": ""Our Presence (folio 14 -> page 29)"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: candidate_offset=15, support_count=1, sample_entries='Our Presence (folio 14 -> page 29)'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,9,duplicate_text,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 9, ""condition_class"": ""EXACT_TEXT_OVERLAP"", ""text_snippet"": ""4\u2002 |\u2002 KRBL Limited"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""iou=1.0""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: class=EXACT_TEXT_OVERLAP, snippet='4  |  KRBL Limited'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
INE001B01026_2012,KRBL Limited,2012,VALIDATION,10,duplicate_text,CANDIDATE,"{""document_id"": ""INE001B01026_2012"", ""page_index"": 10, ""condition_class"": ""EXACT_TEXT_OVERLAP"", ""text_snippet"": ""Annual Report 2011-12 \u2002 |\u2002 5"", ""detector_status"": ""CANDIDATE"", ""verification_status"": ""NOT_REVIEWED"", ""notes"": ""iou=1.0""}",MODEL_REVIEWED,gemini_assistant_model,"Model inspected: class=EXACT_TEXT_OVERLAP, snippet='Annual Report 2011-12   |  5'",NOT_REVIEWED,NONE,Provenance corrected: was auto-relabelled from json snippet without model inspection,AUTO_RELABELLED_WITHOUT_MODEL_INSPECTION
