document_id,company_id,company,FY,physical_page,source_pdf_sha256,page_width,page_height,raster_image_count,largest_raster_area_fraction,total_raster_area_fraction,full_page_raster,dominant_raster_image,native_text_present,estimated_dpi_width,estimated_dpi_height,estimated_dpi,dpi_status,skew_angle,skew_status,skew_method,skew_confidence,contrast,contrast_status,contrast_method,noise_speckle,noise_status,noise_method,blur,blur_status,blur_method,scan_quality,scan_quality_rule_version,measurement_status,analysis_resolution,preprocessing_version,provenance,reason_codes,image_index,image_xref,image_bbox
INE001B01026_2012,INE001B01026,KRBL Limited,2012,11,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,3,0.8948,0.95,True,xref_366_idx_1,True,95.97,95.94,95.94,measured,-0.4,measured,projection_profile_variance_v1,0.154,0.451,measured,interdecile_p95_p05_v1,0.0068,measured,median3x3_residual_v1,1808.5,measured,laplacian_variance_v1,unscored,none,measured,150,pm3_canonical_v1_150dpi_gray,scanned,source_shredded,1,366,"19.8,21.0,650.8,830.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,12,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,13,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,14,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,15,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,16,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,17,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,18,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,19,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,20,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,21,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,22,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,23,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,24,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,25,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,1,0.0002,0.0013,False,xref_362_idx_0,True,89.14,95.31,89.14,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,362,"576.7,63.2,586.4,75.3"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,26,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,670.99,850.99,2,0.0006,0.0025,False,xref_326_idx_0,True,95.5,94.86,94.86,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,0,326,"78.5,57.8,96.6,76.8"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,27,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,28,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,29,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,30,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,31,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,32,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,33,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,34,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,35,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,36,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,37,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,38,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,39,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,40,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,41,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,42,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,43,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,4,0.0711,0.2188,False,,True,72.0,72.0,72.0,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,3,0,"337.0,528.0,599.0,683.0"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,44,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,45,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,46,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,47,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,48,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,49,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,50,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,3,0.0319,0.04,False,xref_472_idx_2,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,2,472,"253.2,0.0,417.8,110.7"
INE001B01026_2012,INE001B01026,KRBL Limited,2012,51,85a43a887ebb82dfa83e2be710dcf39e815571c702aa0459ecfda2ce0b4481b4,671.01,851.01,2,0.0319,0.0387,False,xref_436_idx_1,True,95.85,139.9,95.85,measured,,not_applicable,projection_profile_variance_v1,,,not_applicable,interdecile_p95_p05_v1,,not_applicable,median3x3_residual_v1,,not_applicable,laplacian_variance_v1,unscored,none,not_applicable,150,pm3_canonical_v1_150dpi_gray,native,source_shredded,1,436,"253.2,0.0,417.8,110.7"
