observation_id,company_id,company_name,FY,expected,discovered,downloaded,identity_verified,mda_located,accepted,first_failed_stage,first_failed_reason_code,secondary_reason_codes,authoritative_artifact_id,authoritative_artifact_sha256,discovery_source_ids,discovery_source_types,era,cap_band,exchange,universe_rule_version,era_definition_version,cap_band_definition_version,exchange_definition_version,data_cutoff_timestamp,terminal_state
INE002A01018::FY2020,INE002A01018,Reliance Industries Limited,2020,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,69229ac894|f20e03e99f,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2021,INE002A01018,Reliance Industries Limited,2021,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,386118e051|62d1965d57,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2022,INE002A01018,Reliance Industries Limited,2022,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,3015ba695a|a3a92ea13a,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2023,INE002A01018,Reliance Industries Limited,2023,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,0669e68cd5|2f14068099|e6afd8d46c,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE002A01018::FY2024,INE002A01018,Reliance Industries Limited,2024,True,True,True,True,True,True,,,,4d7d6038b4d6957981fb422bc501ea893765c24611ea1fa8a5d3cd9425541eae,4d7d6038b4d6957981fb422bc501ea893765c24611ea1fa8a5d3cd9425541eae,2d66df6090|c1724820d7,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE002A01018::FY2025,INE002A01018,Reliance Industries Limited,2025,True,True,True,True,True,True,,,,c46ac824ba00bc39d70f66fcaece42dc1af4e32dd91c2a9038fc443618ec2908,c46ac824ba00bc39d70f66fcaece42dc1af4e32dd91c2a9038fc443618ec2908,b30427d964|d834f0ccb9,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE009A01021::FY2010,INE009A01021,Infosys Limited,2010,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,1ab86fc127|90058fcc00,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2011,INE009A01021,Infosys Limited,2011,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,a3236c850a,bse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2012,INE009A01021,Infosys Limited,2012,True,True,True,True,True,True,,,,7b7beda2e37b28d73a39a4250118c8ab04894fd7440a6abb6de203aede9eb576,7b7beda2e37b28d73a39a4250118c8ab04894fd7440a6abb6de203aede9eb576,1f72a44efa|b631807b9e,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE009A01021::FY2013,INE009A01021,Infosys Limited,2013,True,True,True,True,True,True,,,,a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178,a6253e70f855ebedb03d9c5745f15b371c107a270fb9d1bff9952eb22fc15178,521beac378|bfd2f11f02,bse|nse|screener,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE009A01021::FY2014,INE009A01021,Infosys Limited,2014,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,0ba8c9b185|481700d5b4,bse|nse|screener,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2015,INE009A01021,Infosys Limited,2015,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,5a35f627b4|653eeac120,bse|nse|screener,E3_CompaniesAct2013_FY2015,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2016,INE009A01021,Infosys Limited,2016,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,cbba7fc795|dd20a32cb8,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2017,INE009A01021,Infosys Limited,2017,True,True,True,True,True,True,,,,5378aa22c774a2be796fbf6490844f0fc1fd31632d5b149897894614cc6dfbf7,5378aa22c774a2be796fbf6490844f0fc1fd31632d5b149897894614cc6dfbf7,2744f94a82|89e817d73a,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE009A01021::FY2018,INE009A01021,Infosys Limited,2018,True,True,True,True,True,False,ACCEPTANCE,source_shredded,span_truncated,e7c871f5fd43287bbaa1627774e509472ae44372075a6179135a8fd80dd487d7,e7c871f5fd43287bbaa1627774e509472ae44372075a6179135a8fd80dd487d7,73a06c8dde|bbf04b7717,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_ACCEPTANCE
INE009A01021::FY2019,INE009A01021,Infosys Limited,2019,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,a7733d7bdd|e3fdd24d2c,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2020,INE009A01021,Infosys Limited,2020,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,e332e65a43|e42c70db88,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2021,INE009A01021,Infosys Limited,2021,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,06d3260caa|806fa6d447,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2022,INE009A01021,Infosys Limited,2022,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,c821df25fd|ea0e722eb4,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2023,INE009A01021,Infosys Limited,2023,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,5f568b1a16|c734075094|e8c530d3dc,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE009A01021::FY2024,INE009A01021,Infosys Limited,2024,True,True,True,True,True,True,,,,b0a9bb9e802aff5f09733b8c78c88e9878732ac46e0fb29754c6da87ad47326a,b0a9bb9e802aff5f09733b8c78c88e9878732ac46e0fb29754c6da87ad47326a,53fc1a4dd4|cdfcae1752,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE009A01021::FY2025,INE009A01021,Infosys Limited,2025,True,True,True,True,True,True,,,,6224d11244d3f44f7e95901428a8ff23164f383cd1960e02a47483c48612a3c5,6224d11244d3f44f7e95901428a8ff23164f383cd1960e02a47483c48612a3c5,262d3953d3|3d774d04ec,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE040A01034::FY2010,INE040A01034,HDFC Bank Limited,2010,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,b1d41a6de2|dd6c2a67d0,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2011,INE040A01034,HDFC Bank Limited,2011,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,bea6bb0660|d70eb28703,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2012,INE040A01034,HDFC Bank Limited,2012,True,True,True,True,True,True,,,,54115ccf3bf53dec4626c618a136125eeee2815941427982d677cae7b89baf23,54115ccf3bf53dec4626c618a136125eeee2815941427982d677cae7b89baf23,514abb11e3|b2aa137047,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE040A01034::FY2013,INE040A01034,HDFC Bank Limited,2013,True,True,True,True,True,True,,,,fc8290a6faf39e34385fd09d52462e08b0b554162d5b78ca730551a52c6cacc6,fc8290a6faf39e34385fd09d52462e08b0b554162d5b78ca730551a52c6cacc6,1b54683429|ef77469de8,bse|nse,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE040A01034::FY2014,INE040A01034,HDFC Bank Limited,2014,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,76a98e47c0|9dfb47cb0b,bse|nse,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2015,INE040A01034,HDFC Bank Limited,2015,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,10a7776286|ecf8e68794,bse|nse,E3_CompaniesAct2013_FY2015,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2016,INE040A01034,HDFC Bank Limited,2016,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,cfbf907a78|de919b4468,bse|nse,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2017,INE040A01034,HDFC Bank Limited,2017,True,True,True,True,True,False,ACCEPTANCE,source_shredded,span_truncated,528fb52b970812d51d621216b9667115fa35c499e980b8dc6d119b1972e8006d,528fb52b970812d51d621216b9667115fa35c499e980b8dc6d119b1972e8006d,7c956eb722|97262e9305,bse|nse,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_ACCEPTANCE
INE040A01034::FY2018,INE040A01034,HDFC Bank Limited,2018,True,True,True,True,True,True,,,,98012b40f1bb58d93cca9dfa643da9216e1bab8467da924eccb034d113b33bc5,98012b40f1bb58d93cca9dfa643da9216e1bab8467da924eccb034d113b33bc5,6819c801cc|bb528228ec,bse|nse,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE040A01034::FY2019,INE040A01034,HDFC Bank Limited,2019,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,47a85e1a27|e7ecf790e5,bse|nse,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2020,INE040A01034,HDFC Bank Limited,2020,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,4333b0235c|80d2f106c2,bse|nse,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2021,INE040A01034,HDFC Bank Limited,2021,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,51d02a2a3b|7fbe486d8b,bse|nse,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2022,INE040A01034,HDFC Bank Limited,2022,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,2a11aebc32|f693e89107,bse|nse,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2023,INE040A01034,HDFC Bank Limited,2023,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,ec95d2e22f|fe1f5ca7e4,bse|nse,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE040A01034::FY2024,INE040A01034,HDFC Bank Limited,2024,True,True,True,True,True,True,,,,fcd7ef37de26997fed3bcf2b7cfb9eb90f08d4e2617f5f3f967a1ac621c2a73e,fcd7ef37de26997fed3bcf2b7cfb9eb90f08d4e2617f5f3f967a1ac621c2a73e,8a44964cea|af7adf8dcb,bse|nse,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE040A01034::FY2025,INE040A01034,HDFC Bank Limited,2025,True,True,True,True,True,True,,,,875360e8667a46c33d0e33859b4cf363a6cdf68754e3220db9ce77b62fae434a,875360e8667a46c33d0e33859b4cf363a6cdf68754e3220db9ce77b62fae434a,29ecf3e46d|561a5ee58e|8330fa3503,bse|nse,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE044A01036::FY2010,INE044A01036,Sun Pharmaceutical Industries Limited,2010,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,1c2c875c00|c51601ebbd,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2011,INE044A01036,Sun Pharmaceutical Industries Limited,2011,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,4610e09247|fe2b0da8ee,bse|nse,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2012,INE044A01036,Sun Pharmaceutical Industries Limited,2012,True,True,True,True,True,True,,,,71a1ee5d35cdbc4654c0f314f92cf58e94cf72ed43c6044530bf9b9db5010149,71a1ee5d35cdbc4654c0f314f92cf58e94cf72ed43c6044530bf9b9db5010149,e459790500|f4749bb6a5,bse|nse|screener,E1_pre2013_FY2010-2012,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE044A01036::FY2013,INE044A01036,Sun Pharmaceutical Industries Limited,2013,True,True,True,True,True,False,ACCEPTANCE,source_shredded,span_truncated,ed03112a1847f9eda8b621bf22377bfa5612d21d10467eea05979a6d0faa0ab0,ed03112a1847f9eda8b621bf22377bfa5612d21d10467eea05979a6d0faa0ab0,776e048198|d95c4f36e4,bse|nse|screener,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_ACCEPTANCE
INE044A01036::FY2014,INE044A01036,Sun Pharmaceutical Industries Limited,2014,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,05d62abb5a|18e9729553,bse|nse|screener,E2_BRreport_FY2013-2014,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2015,INE044A01036,Sun Pharmaceutical Industries Limited,2015,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,1937d4c001|d680246aa8,bse|nse|screener,E3_CompaniesAct2013_FY2015,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2016,INE044A01036,Sun Pharmaceutical Industries Limited,2016,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,2cf38c2c7d|f24908dd1e,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2017,INE044A01036,Sun Pharmaceutical Industries Limited,2017,True,True,True,True,True,True,,,,72ffe7dd0038b00a2a95ddcc0f22e6b626b472de8633713313b090ec02493914,72ffe7dd0038b00a2a95ddcc0f22e6b626b472de8633713313b090ec02493914,0e5e738c9a|81d8a8c792,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE044A01036::FY2018,INE044A01036,Sun Pharmaceutical Industries Limited,2018,True,True,True,True,True,True,,,,8e699f31caa074fa14ff605e281acc3dc14de73336e0cb7bd0bce7b59d964a61,8e699f31caa074fa14ff605e281acc3dc14de73336e0cb7bd0bce7b59d964a61,24dd167c46|ddeee389ba,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,ACCEPTED
INE044A01036::FY2019,INE044A01036,Sun Pharmaceutical Industries Limited,2019,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,1ece0a1af9|e966f3e72c,bse|nse|screener,E4_IndAS_FY2016-2019,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2020,INE044A01036,Sun Pharmaceutical Industries Limited,2020,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,08aaec70fc|59f721def0,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2021,INE044A01036,Sun Pharmaceutical Industries Limited,2021,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,047798d0a6|6ae7f9412c,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2022,INE044A01036,Sun Pharmaceutical Industries Limited,2022,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,4ecb218092|6d021cc2ad,bse|nse|screener,E5_MandatedRatios_FY2020-2022,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
INE044A01036::FY2023,INE044A01036,Sun Pharmaceutical Industries Limited,2023,True,True,False,False,False,False,DOWNLOAD,REASON_CODE_MISSING,,,,73a5b162b6|ceba1de907|d0e753bf26,bse|nse|screener,E6_BRSR_FY2023-2025,large,both,"pm5-v1: cohort_companies.csv (36 firms, ...",pm5-v1,pm5-v1,pm5-v1,2026-09-17T10:25:19Z,FIRST_FAILURE_AT_DOWNLOAD
