issuer_id,issuer_name,split,num_documents,num_years,fiscal_years,diversity_summary
INE004C01028,Gujarat Cotex Ltd,FIT,4,4,2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;mixed;mixed_page_sizes;multi_column;native;scanned;toc_absent;toc_present;two_column
INE004E01016,Span Divergent Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages
INE004Z01011,Mac Hotels Limited,FIT,2,2,2024;2025,bookmark_present;figure_heavy;hidden_text;image_heavy;mixed_page_sizes;multi_column;native;toc_present;two_column
INE005E01013,Ekansh Concepts Limited,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages
INE006C01015,K.Z.Leasing & Finance Ltd.,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;figure_heavy;hidden_text;image_heavy;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE006I01046,Astral Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE007A01025,Crisil Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;visual_text_disagreement
INE008A01015,IDBI Bank Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;visual_text_disagreement
INE009A01021,Infosys Limited,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,annexure;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;scanned;toc_absent;toc_present;two_column;unusual_heading;vector_text_pages
INE00E101023,Bikaji Foods International Limited,FIT,2,2,2024;2025,bookmark_present;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE00FF01025,Acutaas Chemicals Limited,FIT,3,3,2015;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;short_report;toc_absent;toc_present;two_column
INE00LO01017,Craftsman Automation Limited,FIT,3,3,2015;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;short_report;toc_absent;toc_present;two_column
INE00WC01027,Affle 3i Limited,VALIDATION,2,2,2024;2025,bookmark_present;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE040A01034,HDFC Bank Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,annexure;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE044A01036,Sun Pharmaceutical Industries Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE081A01020,Tata Steel Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;visual_text_disagreement
INE119A01028,Balrampur Chini Mills Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column
INE151A01013,Tata Communications Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages
INE154A01025,ITC Limited,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE171A01029,The Federal Bank  Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages
INE191H01014,PVR INOX Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages
INE192B01031,Welspun Living Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,bookmark_absent;bookmark_present;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;visual_text_disagreement
INE226A01021,Voltas Limited,HOLDOUT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages;visual_text_disagreement
INE482A01020,CEAT Limited,VALIDATION,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column
INE761H01022,Page Industries Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_absent;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;toc_present;two_column;vector_text_pages
INE797F01020,Jubilant Foodworks Limited,FIT,6,6,2012;2013;2017;2018;2024;2025,OCR_layer;bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;native;toc_present;two_column;visual_text_disagreement
