document_id,issuer,company_id,fiscal_year,pdf_sha256,split,development,selection_seed,selection_reason,condition_coverage_summary
INE191H01014_2018,PVR INOX Limited,INE191H01014,2018,28ed7b6a3053aa475dcfe8e587417fdbd25c4f7dfaaf670e76eb30595b7bee81,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE004C01028_2017,Gujarat Cotex Ltd,INE004C01028,2017,73c9aba9314f2a879e5bba9d9bbec279f90505b62c16f97e2d893a89c124612e,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_present;image_heavy;mixed;mixed_page_sizes;multi_column;toc_present;two_column
INE00LO01017_2024,Craftsman Automation Limited,INE00LO01017,2024,bbc5156db65cead9890e170eba069390b43aad1948b69ef52fa8b42d594f765e,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_present;deep_hierarchy;figure_heavy;image_heavy;mixed_page_sizes;multi_column;native;toc_present;two_column
INE081A01020_2024,Tata Steel Limited,INE081A01020,2024,870be0ca867c1c562337a5319d09cac353a85dbb7907dce7c13ee47ad7af3e21,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE004E01016_2012,Span Divergent Limited,INE004E01016,2012,eadc5029f16c33a91cf122fa51bc516ba896f37aa9e4b9751aba7efe5d264ba8,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;image_heavy;multi_column;native;toc_absent;two_column
INE004Z01011_2025,Mac Hotels Limited,INE004Z01011,2025,7a4f1a963222265043d2cc62f24d525cbd85af2da8342fa248089ecce38296e4,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_present;figure_heavy;hidden_text;image_heavy;mixed_page_sizes;multi_column;native;toc_present;two_column
INE151A01013_2018,Tata Communications Limited,INE151A01013,2018,1b050de55772f50d63f6e8ccf5ab97a49db64ff5caadb39b8b01325e5f9acf6b,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;multi_column;native;toc_absent;two_column
INE007A01025_2018,Crisil Limited,INE007A01025,2018,f3870645c3d4c599bf761f37a76bbafbeed7a4ea95f67ae561e4ac5d4ccfd53d,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE003B01014_2013,Inter State Oil Carrier Ltd,INE003B01014,2013,ac45a5735528f6231356054269077496160bddd78b616fa01823bcf778e232a1,FIT,True,20260918,adds issuer diversity (no new conditions left to add),bookmark_absent;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE002A01018_2025,Reliance Industries Limited,INE002A01018,2025,c46ac824ba00bc39d70f66fcaece42dc1af4e32dd91c2a9038fc443618ec2908,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE191H01014_2024,PVR INOX Limited,INE191H01014,2024,b59ae03a8541538b39baae54453536722f03b6c4ebe9dc62208bd450ed901c2b,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE040A01034_2018,HDFC Bank Limited,INE040A01034,2018,98012b40f1bb58d93cca9dfa643da9216e1bab8467da924eccb034d113b33bc5,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed;multi_column;toc_absent;two_column;visual_text_disagreement
INE191H01014_2012,PVR INOX Limited,INE191H01014,2012,f97f93eef3bb87fced844242ac7789d10002e30f27ea2fe92f51e30f11344ead,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;multi_column;native;toc_absent;two_column
INE761H01022_2013,Page Industries Limited,INE761H01022,2013,e75eb3c9e6a3a73f18f96a2906419a4221c8e9406c713ca976cc82306110de45,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;image_heavy;mixed;mixed_page_sizes;multi_column;toc_present;two_column
INE797F01020_2017,Jubilant Foodworks Limited,INE797F01020,2017,c4061954a05c44aef57c01c894a0b3ca4a199c9df53167adea6c97ca223238bb,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE004C01028_2025,Gujarat Cotex Ltd,INE004C01028,2025,0f1522f3a2dd3ea093d24f6896b42186b7c8e31218edba71d2149e1af38cff2b,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;hidden_text;image_heavy;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE008A01015_2024,IDBI Bank Limited,INE008A01015,2024,f79ba9e881edaa6cfb4a5b2b620e06ef589bc49d8d292000c0a1fc3571b0bdf2,FIT,True,20260918,fills remaining development-set budget,OCR_layer;bookmark_present;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE761H01022_2024,Page Industries Limited,INE761H01022,2024,d9fb425a6fa53e873fbd3ef4930fde251f54f9f276a0ee03d7be3877e1e2869e,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE761H01022_2017,Page Industries Limited,INE761H01022,2017,8480ff44472d387fa845563745e4539989bb0a8ae6c4f1c79b44e7908f7fadb0,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;two_column;vector_text_pages
INE004E01016_2018,Span Divergent Limited,INE004E01016,2018,8bd164a01b993db8d3ef7c4f70553a3c0aec1581ae70dfea0a3dfe480670d8d3,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE797F01020_2024,Jubilant Foodworks Limited,INE797F01020,2024,fbcb4a73b67620f6bfd0dad541e76e11bfb2c6adf2b8bddf72ca6eb1134fb581,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE007A01025_2013,Crisil Limited,INE007A01025,2013,419ba79d4446909585bb873d122982ec626bab8417ea7ee877d5a93e1beb4ffc,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;mixed;multi_column;toc_absent;two_column
INE001F01019_2012,Modern Steels Limited,INE001F01019,2012,7ca96fce59cda07b884371a9af00365ccde511c33e5aaabb515b79df5e459dcb,FIT,True,20260918,fills remaining development-set budget,OCR_layer;bookmark_absent;image_heavy;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE081A01020_2013,Tata Steel Limited,INE081A01020,2013,3e58ef4edf7239d3fe4e101d7f5a6eebec2d31e6190f7032d58b0ded3e3dffec,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;legacy_font;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column;visual_text_disagreement
INE797F01020_2013,Jubilant Foodworks Limited,INE797F01020,2013,e3aa3b9f3bad935331d44fa9942bda156f3f7bc98c04427117bfd86ae89306fb,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;legacy_font;mixed;mixed_page_sizes;multi_column;toc_present;two_column;visual_text_disagreement
INE081A01020_2012,Tata Steel Limited,INE081A01020,2012,dc0e15483617c2e785a26c800be32b6cfd74339495025866b9b31573a40229a4,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE191H01014_2013,PVR INOX Limited,INE191H01014,2013,e68cb02ddc41f4b53977b367c337add55a834facbbc907bb8505a5d22bc0bd96,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;image_heavy;multi_column;native;toc_absent;two_column
INE00LO01017_2025,Craftsman Automation Limited,INE00LO01017,2025,ba9e95a54851c5b23f503df932bcde1943dda492b2369c0b0d82d26e6f18d14b,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;long_report;multi_column;native;toc_present;two_column
INE081A01020_2018,Tata Steel Limited,INE081A01020,2018,b9d52ac73af11d751b6996d38a1f95897f0fec87046e3cb8af53109ae02e0fe7,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE001F01019_2013,Modern Steels Limited,INE001F01019,2013,b43ffd8429742abbb63df738c25524448013c04f24a16ab8ce7a841307d1dd06,FIT,True,20260918,fills remaining development-set budget,OCR_layer;bookmark_absent;image_heavy;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE007A01025_2024,Crisil Limited,INE007A01025,2024,ba5ca28c77ae87453fbf869451bc15b09a14dfc6dbaee8cce13aed08c9767838,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;image_heavy;legacy_font;long_report;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;two_column;visual_text_disagreement
INE797F01020_2025,Jubilant Foodworks Limited,INE797F01020,2025,0931a7abc8ca646c5dc6afde716db8fbda9223e5f30f1a1f4f14bf59daf55ed6,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE00FF01025_2025,Acutaas Chemicals Limited,INE00FF01025,2025,0cd2d75144a18f342cc451f489feaacd6ee6dfe5304b268f4d485267f43051c2,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE001F01019_2017,Modern Steels Limited,INE001F01019,2017,7d6c7f1dff985bd0ddb0e3f676f1673c0a0a73c9a8e5561ea362e0c5b00118cc,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;multi_column;native;toc_absent;two_column
INE040A01034_2012,HDFC Bank Limited,INE040A01034,2012,54115ccf3bf53dec4626c618a136125eeee2815941427982d677cae7b89baf23,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE797F01020_2012,Jubilant Foodworks Limited,INE797F01020,2012,b8939a3dff730b9112d76029ab17c09f2646e41ce40fd4c503cbc7dcc73393a7,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;image_heavy;mixed_page_sizes;multi_column;native;toc_present;two_column
INE081A01020_2017,Tata Steel Limited,INE081A01020,2017,b588fbff20f69bf75cbd0dd1207e4ad48b616875218fb58488a4b047a40c4208,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_orientation;mixed_page_sizes;multi_column;native;toc_present;two_column
INE151A01013_2012,Tata Communications Limited,INE151A01013,2012,29b68699a9c265cc5df77a46b11d0e1507ac272c86b9db8c480351b314134ad0,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;multi_column;native;toc_absent;two_column
INE007A01025_2017,Crisil Limited,INE007A01025,2017,eef4c6eec79325d71fcf4e4808347f30f0947430425c49376debec4bf3e6ffac,FIT,True,20260918,fills remaining development-set budget,OCR_layer;bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE003B01014_2025,Inter State Oil Carrier Ltd,INE003B01014,2025,7788c26d0d47f50c0256c1d486f996777e29cb18c9e14b616e3c81a40a0cd169,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;image_heavy;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE001F01019_2018,Modern Steels Limited,INE001F01019,2018,eb1db90ac4b641369bbef5c6fdec9cbe9848c6abe16943b39588d0cd8f3958fe,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;image_heavy;legacy_font;mixed;mixed_page_sizes;multi_column;toc_present;two_column;visual_text_disagreement
INE040A01034_2017,HDFC Bank Limited,INE040A01034,2017,528fb52b970812d51d621216b9667115fa35c499e980b8dc6d119b1972e8006d,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;image_heavy;legacy_font;long_report;mixed;mixed_page_sizes;multi_column;toc_absent;two_column;vector_text_pages;visual_text_disagreement
INE004E01016_2024,Span Divergent Limited,INE004E01016,2024,5df0bb9af53232cc35ffadba97d1ae74fcfbb6b05ba44e004f972287823b0203,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;figure_heavy;hidden_text;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE003B01014_2024,Inter State Oil Carrier Ltd,INE003B01014,2024,880f44f7449c8a8b08536c6ca06318b19e9a74cc096fabd9bf8520f431b0f4ac,FIT,True,20260918,fills remaining development-set budget,bookmark_absent;mixed_orientation;mixed_page_sizes;multi_column;native;toc_absent;two_column
INE191H01014_2025,PVR INOX Limited,INE191H01014,2025,f51fa2ce953846c8906a5e2fb6f2e7e9766ac305a7e3ddc2e4482e51039169db,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE002A01018_2013,Reliance Industries Limited,INE002A01018,2013,39f0bf74cb5ae371b4d4613b016c854bb19b63ff7f4fb44084f4ecd9fbf23cdd,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column;vector_text_pages
INE081A01020_2025,Tata Steel Limited,INE081A01020,2025,7631720e90f7e7623b993c5d4109f008966516a7f08c193d5c6ba16e7f0af480,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE008A01015_2017,IDBI Bank Limited,INE008A01015,2017,06c8df4d32962c388909c765f4554c12635fd7fe3c2279b1ea51e08cbcc1210d,FIT,True,20260918,fills remaining development-set budget,bookmark_present;deep_hierarchy;figure_heavy;hidden_text;image_heavy;long_report;mixed_page_sizes;multi_column;native;toc_present;two_column
INE192B01031_2017,Welspun Living Limited,INE192B01031,2017,52b4f4ced950788a3c852bd9474f83c092f8a58fe9181c2cf7acb6dcfc612a6c,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;image_heavy;legacy_font;long_report;mixed_orientation;mixed_page_sizes;multi_column;native;toc_present;two_column;visual_text_disagreement
INE151A01013_2017,Tata Communications Limited,INE151A01013,2017,c65d2ada7910502e7ccc83992c98f68ad4bade44b0e1cd58a55b3bd1775d5803,FIT,True,20260918,fills remaining development-set budget,bookmark_present;figure_heavy;hidden_text;image_heavy;long_report;multi_column;native;toc_present;two_column;vector_text_pages
