document_id,issuer,company_id,fiscal_year,pdf_sha256,challenge_reason,conditions_covered
INE007A01025_2024,Crisil Limited,INE007A01025,2024,ba5ca28c77ae87453fbf869451bc15b09a14dfc6dbaee8cce13aed08c9767838,legacy_font; hidden_text; mixed_orientation; mixed_page_sizes,legacy_font; hidden_text; mixed_orientation; mixed_page_sizes
INE797F01020_2018,Jubilant Foodworks Limited,INE797F01020,2018,1796908df6c06c13b1ce4e5c04f39c8c876d0494262d36f3aab705482ce1e06b,OCR_layer; mixed_page_sizes; deep_hierarchy,OCR_layer; mixed_page_sizes; deep_hierarchy
INE761H01022_2017,Page Industries Limited,INE761H01022,2017,8480ff44472d387fa845563745e4539989bb0a8ae6c4f1c79b44e7908f7fadb0,vector_text_pages; mixed_orientation; mixed_page_sizes,vector_text_pages; mixed_orientation; mixed_page_sizes
INE001B01026_2013,KRBL Limited,INE001B01026,2013,65a39f97ae2faecdebd901d5487886dbdc3380a282772fc6528fe9449edebd85,legacy_font; vector_text_pages; mixed_page_sizes,legacy_font; vector_text_pages; mixed_page_sizes
INE040A01034_2017,HDFC Bank Limited,INE040A01034,2017,528fb52b970812d51d621216b9667115fa35c499e980b8dc6d119b1972e8006d,legacy_font; vector_text_pages; mixed_page_sizes,legacy_font; vector_text_pages; mixed_page_sizes
INE081A01020_2017,Tata Steel Limited,INE081A01020,2017,b588fbff20f69bf75cbd0dd1207e4ad48b616875218fb58488a4b047a40c4208,hidden_text; mixed_orientation; mixed_page_sizes; deep_hierarchy,hidden_text; mixed_orientation; mixed_page_sizes; deep_hierarchy
INE797F01020_2013,Jubilant Foodworks Limited,INE797F01020,2013,e3aa3b9f3bad935331d44fa9942bda156f3f7bc98c04427117bfd86ae89306fb,legacy_font; hidden_text; mixed_page_sizes; deep_hierarchy,legacy_font; hidden_text; mixed_page_sizes; deep_hierarchy
INE192B01031_2017,Welspun Living Limited,INE192B01031,2017,52b4f4ced950788a3c852bd9474f83c092f8a58fe9181c2cf7acb6dcfc612a6c,legacy_font; mixed_orientation; mixed_page_sizes,legacy_font; mixed_orientation; mixed_page_sizes
INE002B01016_2012,MADALA HOLDINGS LIMITED,INE002B01016,2012,eab8aa48f124b68ab28a362ded5f6e46331154125654bd629c4942aba9aaae2e,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE002B01016_2013,MADALA HOLDINGS LIMITED,INE002B01016,2013,e9260e0004a0acea803a172956029d231b7dee6aa184dbf222f582da173ed9ce,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE002S01010_2018,Mahanagar Gas Limited,INE002S01010,2018,78e81b08cebe7913b9f1584bef0f449d66d6e404f28c8161d5a88d24dbfd1e65,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE006C01015_2012,K.Z.Leasing & Finance Ltd.,INE006C01015,2012,2bac9f14c400ea136247d2e16cc9da8826f7b773c31de7e148db1cbd1190a2db,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE007A01025_2017,Crisil Limited,INE007A01025,2017,eef4c6eec79325d71fcf4e4808347f30f0947430425c49376debec4bf3e6ffac,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE226A01021_2018,Voltas Limited,INE226A01021,2018,c8d336a0196c0ad223fee41601386b8f512a7a4829d98c7db8368a9ff2abda7e,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE482A01020_2018,CEAT Limited,INE482A01020,2018,177d0e4dc477f822973a7fe7cad58523f93ed89967280340d6bf452421ca5189,OCR_layer; hidden_text; mixed_page_sizes,OCR_layer; hidden_text; mixed_page_sizes
INE002A01018_2012,Reliance Industries Limited,INE002A01018,2012,7d5e6932d247fc16e41791ecbd03fc25403955c65b4b649536e09a46d50e795a,hidden_text; vector_text_pages; mixed_page_sizes,hidden_text; vector_text_pages; mixed_page_sizes
INE005E01013_2024,Ekansh Concepts Limited,INE005E01013,2024,3febf85887da6640e50371d6d726ada073275da379f5406dfcb2a3bb86bfb46f,hidden_text; vector_text_pages; mixed_page_sizes,hidden_text; vector_text_pages; mixed_page_sizes
INE191H01014_2017,PVR INOX Limited,INE191H01014,2017,141e69522edec37b5823a058ed210412a3774fd9f125548d6683e38cefdeb765,hidden_text; vector_text_pages; mixed_page_sizes,hidden_text; vector_text_pages; mixed_page_sizes
INE001F01019_2012,Modern Steels Limited,INE001F01019,2012,7ca96fce59cda07b884371a9af00365ccde511c33e5aaabb515b79df5e459dcb,OCR_layer; mixed_page_sizes,OCR_layer; mixed_page_sizes
INE001F01019_2013,Modern Steels Limited,INE001F01019,2013,b43ffd8429742abbb63df738c25524448013c04f24a16ab8ce7a841307d1dd06,OCR_layer; mixed_page_sizes,OCR_layer; mixed_page_sizes
INE002E01010_2013,Sar  Auto Products Limited,INE002E01010,2013,506af41f735e68862997ee112b2a80df1b288149d7bcff69324b822567cc8dab,OCR_layer; mixed_page_sizes,OCR_layer; mixed_page_sizes
